,,,State/Country,Surface area,mean depth,Inflow rate,theta or Q,TPout,Loading constant,,Vol,Loading/m2,TPout/TPin,Rp,our predicted Rp,TPin ,K or s,10/z,flushing rate,qs,qs,tn_out_mass,tp_out_mass,tn_in_mass,Rn_source,tn_in_conc,tn_out_conc
1,1,Blackhawk,Wisc,0.9,4.9,0.3,0.5,120,1980,,4.4,2225,0.529,0.471,0.446,227,1.78,2.04,2,9.8,9.8,,,,,,
2,2,Calhoun,Minn,1.7,10.6,0.2,3.6,106,1462,,18,860,0.363,0.637,0.671,292,0.49,0.94,0.3,2.9,2.94,,,,,,
3,3,Camelot-Sherwood,Wisc,2.8,3,2.3,0.12,30,7042,,8.4,2515,0.311,0.689,0.287,96,19.25,3.33,8.7,26.1,26.09,,,,,,
4,4,Canadarago,NY,7.6,7.7,3.1,0.6,45,6004,,58.5,790,0.731,0.269,0.467,62,0.61,1.3,1.7,12.8,12.83,,,,,,
5,5,Cayuga,NY,170,54,33.8,8.6,20,141100,,9180,830,0.151,0.849,0.755,132,0.65,0.19,0.1,6.3,6.28,,,,,,
6,6,Cedar,Minn,0.7,6.1,0,3.3,55,242,,4.2,350,0.29,0.71,0.662,189,0.74,1.64,0.3,1.8,1.85,,,,,,
7,7,Cox Hollow,Wisc,0.4,3.8,0.1,0.6,100,722,,1.5,1850,0.342,0.658,0.467,292,3.2,2.63,1.7,6.3,6.33,,,,,,
8,8,Dogfish,Minn,0.3,4,0,3.5,10,5,,1.2,17,0.672,0.328,0.668,15,0.14,2.5,0.3,1.1,1.14,,,,,,
9,9,Dutch Hollow,Wisc,0.9,3,0,1.8,400,833,,2.6,980,0.68,0.32,0.595,588,0.26,3.33,0.6,1.7,1.67,,,,,,
10,10,George,NY,110,18,7.8,8,8.5,7880,,1980,72,0.267,0.733,0.748,32,0.34,0.56,0.1,2.3,2.25,,,,,,
11,11,Harriet,Minn,1.4,8.8,0.2,2.4,62,994,,12.3,710,0.32,0.68,0.628,194,0.88,1.14,0.4,3.7,3.67,,,,,,
12,12,Isles ,Minn,0.4,2.7,0.1,0.6,110,853,,1.1,2030,0.244,0.756,0.467,451,5.17,3.7,1.7,4.5,4.5,,,,,,
13,13,Kerr (Roanoke),NC-Vir,120,10.3,196,0.2,30,624000,,1236,5200,0.297,0.703,0.343,101,11.83,0.97,5,51.5,51.5,,,,,,
14,14,Kerr (Nutbush),NC-Vir,50,8.2,2.5,5.1,30,36000,,410,720,0.067,0.933,0.706,448,2.73,1.22,0.2,1.6,1.61,,,,,,
15,15,Lamb,Minn,0.4,4,0,2.3,12,12,,1.6,30,0.69,0.31,0.623,17,0.2,2.5,0.4,1.7,1.74,,,,,,
16,16,Meander,Minn,0.4,5,0,2.7,9,10,,1.8,28,0.606,0.394,0.641,15,0.24,2,0.4,1.9,1.85,,,,,,
17,17,Mendota,Wisc,39,12,3.3,4.5,150,46800,,468,1200,0.333,0.667,0.694,450,0.44,0.83,0.2,2.7,2.67,,,,,,
18,18,Minnetonka,Minn,26.2,8.3,1.1,6.3,60,2800,,217.5,107,0.74,0.26,0.726,81,0.06,1.2,0.2,1.3,1.32,,,,,,
19,19,Redstone,Wisc,2.5,4.3,0.4,0.85,30,3900,,10.8,1560,0.097,0.903,0.508,308,10.92,2.33,1.2,5.1,5.06,,,,,,
20,20,Sallie,Minn,5.3,6.4,0.7,1.45,350,15105,,33.9,2850,0.542,0.458,0.571,646,0.58,1.56,0.7,4.4,4.41,,,,,,
21,21,Sammamish,Wash,20,18,6.3,1.8,30,13000,,360,650,0.462,0.538,0.595,65,0.65,0.56,0.6,10,10,,,,,,
22,22,Shagawa,Minn,9.2,5.7,2.1,0.8,60,6250,,52.4,679,0.629,0.371,0.501,95,0.74,1.75,1.3,7.1,7.13,,,,,,
23,23,Stewart,Wisc,0,1.9,0,0.08,40,161,,0,6435,0.148,0.852,0.254,271,72.17,5.26,12.5,23.8,23.75,,,,,,
24,24,Tahoe,Cal/Nev,500,313,7.1,700,3,23400,,156500,47,0.029,0.971,0.961,105,0.05,0.03,0,0.4,0.45,,,,,,
25,25,East Twin,Ohio,0.3,5,0.1,0.73,80,171,,1.4,633,0.861,0.139,0.491,93,0.22,2,1.4,6.8,6.82,,,,,,
26,26,West Twin ,Ohio,0.3,4.34,0,1.47,110,113,,1.5,333,0.977,0.024,0.572,113,0.02,2.3,0.7,3,2.96,,,,,,
27,27,Twin Valley,Wisc,0.6,3.8,0.2,0.45,70,1156,,2.3,1895,0.312,0.688,0.434,224,4.9,2.63,2.2,8.4,8.44,,,,,,
28,28,Waldo,Ore,27,36,1.5,21,5,458,,972,17,0.505,0.495,0.824,10,0.05,0.28,0,1.7,1.71,,,,,,
29,29,Washington,Wash,88,33,38.4,2.4,18,41360,,2904,470,0.527,0.473,0.628,34,0.37,0.3,0.4,13.8,13.75,,,,,,
30,30,Weir,Fla,24,6.3,1.1,4.2,80,3360,,151.2,140,0.857,0.143,0.687,93,0.04,1.59,0.2,1.5,1.5,,,,,,
31,1,Kentucky,TVA,583.4,5,2403,0.04,75,5485950,,2900,9403,1.036,-0.036,0.194,72,-0.91,2,26.1,130.4,129.9,,,,,,
32,2,Pickwick,TVA,162,6.5,1970,0.02,64,3175500,,1050,19602,1.252,-0.252,0.141,51,-11.85,1.54,58.9,382.7,383.49,,,,,,
33,3,Wilson,TVA,63.4,12.3,1871,0.01,52,3281350,,777,51756,0.935,0.065,0.127,56,5.28,0.81,76,935.3,930.66,,,,,,
34,4,Wheeler,TVA,227.5,5.3,1741,0.02,56,1912600,,1202,8407,1.608,-0.608,0.156,35,-17.24,1.89,45.6,241.8,241.34,,,,,,
35,5,Guntersville,TVA,261.3,4.2,1427,0.02,29,1719150,,1105,6579,0.759,0.241,0.163,38,12.87,2.38,40.6,170.3,172.22,,,,,,
36,6,Nickajack,TVA,42.7,6.8,1203,0.01,35,1354150,,288,31713,0.981,0.019,0.101,36,2.58,1.47,130.4,886.4,888.47,,,,,,
37,7,Chickamauga,TVA,122.2,5,1154,0.02,27,930750,,614,7617,1.056,-0.056,0.141,26,-3.11,2,58.9,294.4,297.81,,,,,,
38,8,Watts Bar,TVA,148,7.3,975,0.04,27,1219100,,1081,8237,0.681,0.319,0.187,40,13.36,1.37,28.5,208.2,207.75,,,,,,
39,9,Fort Loudoun,TVA,54.5,7.3,470,0.03,50,657000,,399,12055,1.128,-0.128,0.169,44,-4.23,1.37,37.2,271.9,271.96,,,,,,
40,10,Chatuge,TVA,23.9,9.5,16.5,0.44,16,10950,,227,458,0.76,0.24,0.43,21,0.72,1.05,2.3,21.8,21.77,,,,,,
41,11,Cherokee,TVA,77.9,13.9,158.6,0.22,33,754820,,1084,9690,0.219,0.781,0.352,151,16.51,0.72,4.6,64.2,64.21,,,,,,
42,12,Douglas,TVA,78.9,10.7,230.9,0.12,33,480340,,848,6088,0.5,0.5,0.29,66,8.48,0.93,8.5,90.8,92.29,,,,,,
43,13,Fontana,TVA,31.3,37.8,133.4,0.28,15,185785,,1183,5936,0.34,0.66,0.381,44,6.89,0.26,3.5,134,134.41,,,,,,
44,14,Hiwassee,TVA,17,20.2,71.6,0.15,17,46355,,344,2727,0.828,0.172,0.316,21,1.35,0.5,6.5,131.7,132.82,,,,,,
45,15,Norris,TVA,105,16.3,145.5,0.37,14,162790,,1715,1550,0.395,0.605,0.412,35,4.12,0.61,2.7,43.7,43.7,,,,,,
46,16,South Holston,TVA,26,23.4,35.1,0.55,11,37595,,609,1446,0.324,0.676,0.457,34,3.79,0.43,1.8,42.5,42.57,,,,,,
47,17,Tims Ford,TVA,39.6,14.9,33.5,0.56,22,24455,,592,618,0.95,0.05,0.46,23,0.09,0.67,1.8,26.5,26.68,,,,,,
48,18,Watauga,TVA,22.8,24.5,25.7,0.69,12,39420,,558,1729,0.247,0.753,0.483,49,4.44,0.41,1.5,35.6,35.55,,,,,,
49,1,West Okoboji,Iowa,15.4,11.9,0.29,20,36,2618,,183.3,170,0.126,0.874,0.821,286,0.35,0.84,0.05,0.6,0.6,,,,,,
50,2,East Okoboji,Iowa,7.6,2.8,0.62,1.09,121,3744,,21.4,490,0.636,0.364,0.537,190,0.53,3.57,0.92,2.6,2.58,,,,,,
51,3,Big Spirit,Iowa,21.7,5.2,0.75,4.76,43,5637,,112.7,260,0.181,0.819,0.699,238,0.95,1.92,0.21,1.1,1.09,,,,,,
52,4,Loon,Iowa,2.9,1.5,0.35,0.39,85,1659,,4.4,570,0.573,0.427,0.418,148,1.91,6.67,2.56,3.8,3.84,,,,,,
53,5,Silver,Iowa,4.3,1.8,0.29,0.84,150,2333,,7.8,540,0.595,0.405,0.507,252,0.81,5.56,1.19,2.1,2.14,,,,,,
54,6,Center,Iowa,1.1,2.7,0.01,7.69,84,137,,3.1,120,0.246,0.754,0.745,342,0.4,3.7,0.13,0.4,0.35,,,,,,
55,7,Lower Gar,Iowa,1,1.1,0.21,0.16,117,1107,,1.1,1130,0.712,0.288,0.32,164,2.53,9.09,6.25,6.9,6.88,,,,,,
56,8,Black Hawk,Iowa,3.7,1.4,0.27,0.6,109,2123,,5.1,580,0.439,0.561,0.467,248,2.13,7.14,1.67,2.3,2.34,,,,,,
57,9,Storm,Iowa,12.5,2.2,0.29,3.03,66,2492,,27.4,200,0.24,0.76,0.653,275,1.05,4.55,0.33,0.7,0.73,,,,,,
58,10,Lost Island,Iowa,4.7,3.1,0.22,2.04,127,1814,,14.4,390,0.495,0.505,0.61,257,0.5,3.23,0.49,1.5,1.52,,,,,,
59,11,Trumbell,Iowa,3.3,1,0.95,0.11,104,6777,,3.3,2060,0.459,0.541,0.283,227,10.72,10,9.09,9.1,9.09,,,,,,
60,12,High,Iowa,2.2,1,0.09,0.73,130,785,,2.2,360,0.495,0.505,0.49,263,1.4,10,1.37,1.4,1.37,,,,,,
61,13,Ingham,Iowa,1.4,1.5,0.06,1.16,88,864,,2.2,600,0.189,0.811,0.545,465,3.69,6.67,0.86,1.3,1.29,,,,,,
62,14,North Twin,Iowa,1.8,3,0.06,2.7,53,513,,5.3,290,0.203,0.797,0.641,261,1.45,3.33,0.37,1.1,1.11,,,,,,
63,15,Cornelia,Iowa,0.9,1.4,0.01,4,75,94,,1.2,110,0.239,0.761,0.682,314,0.8,7.14,0.25,0.4,0.35,,,,,,
64,16,Clear,Iowa,14.4,2.7,0.21,5.88,36,2020,,39,140,0.118,0.882,0.72,305,1.27,3.7,0.17,0.5,0.46,,,,,,
65,1,Aegerisee,Switzerland,7.24,49,1.29,8.7,7.6,1158,,354.8,160,0.268,0.732,0.756,28,0.31,0.2,0.115,5.6,5.64,,,,,,
66,2,TÅrlersee,Switzerland,0.48,14,0.1,2.15,14.5,144,,6.7,300,0.315,0.685,0.615,46,1.01,0.71,0.465,6.5,6.51,,,,,,
67,3,Pf?ffikersee,Switzerland,3.31,18,0.73,2.6,88,4502,,59.6,1360,0.448,0.552,0.636,196,0.47,0.56,0.385,6.9,6.93,,,,,,
68,4,Bodensee-Obsersee,Switzerland,477,100,310.07,4.88,115,1939005,,47700,4065,0.58,0.42,0.702,198,0.15,0.1,0.205,20.5,20.5,,,,,,
69,5,Greifensee,Switzerland,8.56,19,2.53,2.04,118,13396,,162.6,1565,0.702,0.298,0.61,168,0.21,0.53,0.49,9.3,9.31,,,,,,
70,6,Baldeggersee,Switzerland,5.25,34,1.25,4.55,162,9188,,178.5,1750,0.692,0.308,0.695,234,0.1,0.29,0.22,7.5,7.48,,,,,,
71,7,Hallwilersee,Switzerland,10.3,28,2.38,3.85,40,5665,,288.4,550,0.529,0.471,0.678,76,0.23,0.36,0.26,7.3,7.28,,,,,,
72,8,ZÅrichsee-Untersee,Switzerland,67.3,50,72.56,1.47,32,88836,,3365,1320,0.824,0.176,0.572,39,0.15,0.2,0.68,34,34,,,,,,
73,1,Lunzer Untersee,Austria,0.68,20,1.2,0.36,8,347.1,,13.6,511,0.855,0.145,0.408,9,0.47,0.5,2.8,55.6,55.56,,,,,,
74,2,Feldsee,Germany,0.0915,15.7,0.09,0.49,4,14.2,,1.438,155,0.905,0.095,0.443,5,0.22,0.64,2.1,32.3,32.38,,,,,,
75,3,Lago di Mergozzo,Italy,1.825,45.4,0.56,4.7,6,967.3,,82.933,530,0.102,0.898,0.698,55,1.87,0.22,0.2,9.7,9.67,,,,,,
76,4,Agno,Italy,2.04,53.9,1.47,2.38,167,20420.4,,110,10010,0.378,0.622,0.627,442,0.69,0.19,0.4,22.6,22.66,,,,,,
77,5,Piburgersee,Austria,0.134,13,0.02,2.74,11,10,,1.785,74.5,0.711,0.289,0.642,15,0.15,0.77,0.4,4.7,4.86,,,,,,
78,6,Ossiachersee,Austria,10.788,19.93,3.55,1.92,14,8080.2,,215,749,0.2,0.8,0.603,72,2.08,0.5,0.5,10.4,10.38,,,,,,
79,7,Attersee,Austria,46.6,84.2,17.87,7,5,11393.7,,3944.6,244.5,0.266,0.734,0.736,20,0.39,0.12,0.1,12,12.09,,,,,,
80,8,Sempachersee,Switzerland,14.4,46,1.2,16.5,74,15696,,624,1090,0.178,0.822,0.807,415,0.28,0.22,0.1,2.8,2.63,,,,,,
81,9,VWS Kreuztrichter,Switzerland,56.98,75,108.46,1.38,26,75783.4,,4720,1330,1.164,-0.164,0.565,22,-0.1,0.13,0.7,54.3,60.03,,,,,,
