"Data from Brooks, J. R., et al. (2014). ""Stable Isotope estimates of lake water evaporation:inflow and residence time for lakes across the United States as a tool for national lake water quality assessments."" Limnology and Oceanography 59(6): 2150-2165.",,,,,,,,,,,
SITE_ID,VISIT_NO,DATE_COL,E_I,RT,LON_DD,LAT_DD,LAKEAREA (km2),DEPTHMAX (m),Lake_Vol (m3),ELEV_PT (m),BASINAREA_KM2
NLA06608-0001,1,7/31/2007,0.103,0.77,-114.0218399,48.97902855,0.662930555,8.3,1866604.421,1605.73,3.76
NLA06608-0002,1,6/14/2007,0.366,0.26,-79.98379054,33.03606404,0.144379981,2.3,97442.09625,4.9,2.29
NLA06608-0003,1,8/29/2007,0.204,0.17,-97.85986605,28.04774206,0.057017366,2.5,53941.70242,17.6,4.84
NLA06608-0004,1,7/10/2007,0.285,1.05,-108.4045832,37.41662013,0.653863092,6.3,1228378.514,2213,4.70
NLA06608-0005,1,7/18/2007,0.082,0.48,-114.8403862,43.92920926,0.194876125,6.1,435130.752,2138,87.08
NLA06608-0006,1,7/17/2007,0.002,0.16,-73.1465177,41.68314624,0.561997482,25.3,4576033.741,198.75,23.08
NLA06608-0007,1,7/24/2007,0.422,5.82,-92.04001797,45.58064546,0.254747633,19.2,2016224.463,390.86,9.13
NLA06608-0008,1,7/12/2007,0.392,0.79,-93.59040488,41.29211104,0.487370362,5.5,681734.6106,261.56,13.32
NLA06608-0010,1,7/17/2007,0.262,1.69,-83.50588771,42.61823014,0.300373324,11.8,1184034.155,284.65,2.93
NLA06608-0012,1,6/13/2007,0.059,0.07,-96.87178731,35.99078823,1.776575126,3.5,1902456.281,255.6,83.22
NLA06608-0013,1,9/4/2007,0.001,0,-74.56255123,39.97428032,0.371402558,2.3,198696.1206,15.44,93.77
NLA06608-0014,1,8/6/2007,0.768,0.93,-100.5756807,47.83492738,0.128095286,1.7,91058.96602,498.4,7.07
NLA06608-0015,1,7/10/2007,0.147,0.21,-107.2747938,33.0071076,1.739929805,7,2141502.172,1275.36,68562.98
NLA06608-0016,1,6/27/2007,0.474,1.58,-100.7797567,41.03025217,6.410233086,6.3,13919248.08,916,42.29
NLA06608-0019,1,6/11/2007,0.356,0.19,-99.51185877,46.36688788,1.033135279,1.2,299711.0625,600.25,91.70
NLA06608-0020,1,6/11/2007,0.046,0.14,-87.81380832,39.40817838,2.962001459,14.9,6821876.984,184.92,53.75
NLA06608-0021,1,7/27/2007,0.072,2.88,-77.3095481,42.77191973,42.26925272,53,607262325.5,209.55,241.66
NLA06608-0023,1,8/9/2007,0.026,0.08,-97.745332,31.14849172,0.062072217,3,70439.8167,265.85,0.74
NLA06608-0024,1,7/11/2007,0.209,0.7,-95.48843409,32.1220497,95.30145112,12.9,308252004.9,105.13,2170.03
NLA06608-0025,1,6/18/2007,0.176,0.42,-81.34573084,35.20132137,0.114812351,8,220715.1953,245.48,6.84
NLA06608-0029,1,7/2/2007,0.101,0.06,-75.21503793,38.75601051,0.731003742,1.7,330188.6154,1.87,18.77
NLA06608-0031,1,6/13/2007,0.035,0.06,-81.51745185,39.77645357,0.242495358,4.9,276678.9426,241.93,12.16
NLA06608-0033,1,7/17/2007,0.116,0.15,-121.2990598,47.31108363,0.151644835,1.4,84761.52314,732.43,5.52
NLA06608-0036,1,7/12/2007,0.199,0.4,-88.32737922,37.47735404,0.120276054,5,186378.3105,113.39,1.22
NLA06608-0037,1,7/13/2007,0.009,0.18,-73.36398551,41.69699293,2.36955581,13,8398109.105,211.27,37.26
NLA06608-0038,1,7/12/2007,0.197,1.61,-71.86971736,44.79759122,2.206478779,11.3,8944497.28,358.73,25.87
NLA06608-0041,1,6/12/2007,0.098,1.47,-80.85405519,38.22694093,10.71509332,43,103613570,501.84,2083.77
NLA06608-0042,1,6/22/2007,0.049,0.64,-107.0403753,44.45823517,0.777184868,13.6,3833918.613,2626,87.80
NLA06608-0043,1,7/31/2007,0.25,1.98,-85.44424168,41.553395,0.242471918,16.5,1238233.769,273.03,150.90
NLA06608-0044,1,7/18/2007,0.444,0.4,-101.7024805,42.4048448,2.198023543,1.6,1190427.278,1097.9,202.30
NLA06608-0045,1,6/26/2007,0.058,0.04,-77.88986113,37.29320486,0.288381982,2.1,137981.0264,65.73,42.18
NLA06608-0048,1,8/2/2007,0.5,0.56,-89.17572548,36.7872968,0.056179483,3,51745.64392,92.55,0.45
NLA06608-0049,1,8/15/2007,0.038,0.12,-117.1533553,45.06232667,0.128905475,3.7,144251.4866,2107.88,4.04
NLA06608-0050,1,7/2/2007,0.049,0.19,-71.80868659,43.44601793,0.119790709,4.9,188792.7263,196.17,0.85
NLA06608-0053,1,8/23/2007,0.049,0.11,-73.43960723,43.55819295,4.709098,5.3,6627799.154,28.85,3161.13
NLA06608-0057,1,6/16/2007,0.2,0.23,-80.51686138,34.96189211,0.530283936,3.7,518304.4094,149.57,134.98
NLA06608-0061,1,6/12/2007,0.269,1.11,-113.5793644,34.24558153,5.723287327,15.3,28400509.74,335,11406.01
NLA06608-0062,1,8/9/2007,0.771,1.28,-99.74629427,47.32067994,0.542985616,2.7,514208.3073,562.29,8.15
NLA06608-0064,1,6/18/2007,0.471,0.9,-112.1680165,48.8940613,0.252077914,2.5,235773.0131,1208,14.75
NLA06608-0065,1,7/17/2007,0.078,0.72,-115.116608,48.96243381,0.895225888,17.1,4510619.027,766.43,32.90
NLA06608-0066,1,6/12/2007,0.038,0.31,-79.38081778,39.76851425,10.94588775,20.5,54404316.04,439.26,1115.53
NLA06608-0068,1,7/9/2007,0.027,0.57,-107.8853911,37.82447614,0.500989694,18.6,3588108.266,2959.6,35.27
NLA06608-0069,1,7/18/2007,0.339,0.39,-81.13759704,28.63735951,0.244704468,3.4,303357.98,11.26,3.87
NLA06608-0071,1,9/6/2007,0.583,0.9,-91.50916933,31.66683993,4.602095294,5.3,6804871.274,15.17,28.87
