Source,lake,type,state_country,drainage_area_km2,surface_area_km2,mean_depth_m,Inflow_rate_Q_m3s-1,retention_time_years,TP_lake,TN_lake,N_P_assay,N_P_limitation,TP_load_kgyr-1,TN_load_kgyr-1,TP_out_kgyr-1,TN_out_kgyr-1,Rp,Rn,Notes
EPA 475,Bankhead Lake,impoundment,Alabama,10334.1,37.2,3.1,179.8,0.019,0.029,1.180,,P,651300,6597675,218870,9588085,0.66,-0.45,
EPA 475,Holt Lock and Dam,impoundment,Alabama,10960.9,13.4,7.9,191.1,0.016,0.018,1.040,,P,226370,9953970,149105,9491100,0.34,0.05,
EPA 475,Gantt Lake,impoundment,Alabama,1675.7,11.2,1.4,24.2,0.019,0.029,0.570,,P,29975,722850,32250,765985,-0.08,-0.06,
EPA 475,Guntersville Reservoir,impoundment,Alabama,63325.5,275.0,4.6,1097.7,0.036,0.044,0.710,,P,1848075,35287200,1709205,33965895,0.08,0.04,some inputs estimated
EPA 475,Lay Lake,impoundment,Alabama,23387.7,48.6,10.1,343.8,0.038,0.076,0.640,,N,860275,13931045,1051970,12157280,-0.22,0.13,
EPA 475,Mitchell Lake,impoundment,Alabama,25325.0,23.6,1.3,434.5,0.003,0.053,0.560,,N and P,1085885,13022865,1126335,12247875,-0.04,0.06,one stream input estimated
EPA 475,Martin Lake,impoundment,Alabama,7674.2,157.8,12.9,123.5,0.482,0.017,0.380,,P,213345,2732070,81110,3572695,0.62,-0.31,
EPA 475,Pickwick Lake,impoundment,Alabama,85003.7,174.6,6.5,1489.6,0.025,0.056,0.685,,N and P,2808905,60829130,2995305,55474895,-0.07,0.09,
EPA 475,Lake Purdy,impoundment,Alabama,106.4,4.3,5.1,2.3,0.299,0.049,0.730,,N and P,14490,81195,5825,69375,0.60,0.15,
EPA 475,Weiss Reservoir,impoundment,Alabama,13649.4,122.2,2.8,243.4,0.044,0.092,0.640,,N,1155275,8767795,706815,5920780,0.39,0.32,
EPA 475,Wilson Lake,impoundment,Alabama,79642.4,62.8,12.5,1433.4,0.016,0.053,0.610,,P and N,2406435,60984770,2415185,52359380,0.00,0.14,
EPA 475,Killen Pond,impoundment,Delaware,46.4,0.3,1.5,0.7,0.022,0.170,2.550,,N and P,4520,65970,2410,62450,0.47,0.05,
EPA 475,Moores Lake,impoundment,Delaware,35.2,0.1,101.0,0.8,0.005,0.245,3.500,,P,7315,99580,5825,99275,0.20,0.00,
EPA 475,Noxontown Pond,impoundment,Delaware,24.4,0.6,1.1,0.4,0.055,0.160,2.200,,P,2455,41015,1355,22735,0.45,0.45,
EPA 475,Silver Lake,impoundment,Delaware,19.5,0.2,1.5,0.3,0.022,0.227,5.350,,P,4870,75815,2520,58835,0.48,0.22,
EPA 475,Trussum Pond,impoundment,Delaware,38.6,0.2,1.2,0.5,0.016,0.038,1.800,,P,381,36660,250,27560,0.34,0.25,
EPA 475,Williams Pond,impoundment,Delaware,59.8,0.3,1.2,1.5,0.008,0.042,2.750,,N and P,2220,162210,2155,129955,0.03,0.20,
EPA 475,Alligator Lake,natural ,Florida,39.9,1.4,1.5,0.5,0.137,0.620,2.590,,N,21425,83235,11875,43140,0.45,0.48,
EPA 475,Lake Apopka,natural ,Florida,476.6,125.4,1.7,2.7,2.500,0.102,3.770,,N and P,78810,417730,35925,354670,0.54,0.15,
EPA 475,Crescent,natural ,Florida,1289.8,70.6,2.0,10.7,0.419,0.065,1.270,,N,67325,661810,33775,549230,0.50,0.17,
EPA 475,Doctor's Lake,natural ,Florida,58.0,13.0,3.0,0.7,1.700,0.084,1.445,,N or co,9915,82085,2295,70110,0.77,0.15,
EPA 475,Lake Dora,natural ,Florida,613.8,22.4,3.0,3.5,0.605,0.102,3.290,,P and N,41015,423890,12450,312365,0.70,0.26,
EPA 475,East Lake Tohopekaliga,natural ,Florida,797.7,49.3,2.7,6.2,0.677,0.042,0.930,,P and N,35730,363650,5025,228820,0.86,0.37,
EPA 475,Lake George,natural ,Florida,9738.4,186.2,3.0,110.6,0.159,0.129,1.600,,N,624870,12675785,561005,6865460,0.10,0.46,
EPA 475,Lake Gibson,natural ,Florida,11.2,1.9,2.0,0.1,1.700,0.167,1.250,,N,1665,8040,420,3970,0.75,0.51,
EPA 475,Lake Griffin,natural ,Florida,2007.2,35.6,2.9,9.6,0.340,0.119,3.450,,P and N,50315,908380,29225,913825,0.42,-0.01,
EPA 475,Lake Haines,natural ,Florida,21.2,2.9,2.5,0.1,2.900,0.063,1.090,,N,1980,45155,165,4080,0.92,0.91,inputs estimated
EPA 475,Lake Howell,natural ,Florida,71.7,1.6,2.5,1.5,0.082,1.260,1.745,,N,93610,183600,66375,97470,0.29,0.47,
EPA 475,Lake Istokpgoga,natural ,Florida,1572.1,112.1,1.8,15.0,0.425,0.039,1.060,,N or co,33615,595380,25570,567575,0.24,0.05,
EPA 475,Lake Jessie,natural ,Florida,12.6,0.8,2.0,0.1,0.452,0.051,0.890,,N,2500,7265,160,2990,0.94,0.59,asterisk on output but no explanation
EPA 475,Lake Jessup,natural ,Florida,388.5,32.0,1.1,5.0,0.225,0.492,2.755,,N,135590,427090,71750,438290,0.47,-0.03,
EPA 475,Lake Kissimmee,natural ,Florida,4149.5,141.4,1.8,33.4,0.241,0.034,1.515,,P and N,63765,1855730,36865,1478835,0.42,0.20,
EPA 475,Lawne Lake,natural ,Florida,10.7,0.6,1.1,0.2,0.099,2.560,4.770,,N and P,9460,35210,2830,16220,0.70,0.54,
EPA 475,Lake Marion,natural ,Florida,92.5,12.8,1.3,0.8,0.644,0.044,2.220,,N and P,1860,63540,1065,54375,0.43,0.14,
EPA 475,Lake Minnehaha,natural ,Florida,4.3,0.4,3.0,0.1,0.266,0.038,0.590,,N,245,4020,185,3855,0.24,0.04,
EPA 475,Lake Minneola,natural ,Florida,409.2,7.6,2.7,1.9,0.351,0.018,0.530,,co or N,2050,52345,1540,125420,0.25,-1.40,
EPA 475,Lake Monroe,natural ,Florida,6682.2,35.5,1.8,74.3,0.027,0.188,1.910,,N,525075,5723790,543740,5760010,-0.04,-0.01,
EPA 475,Lake Munson,natural ,Florida,167.1,1.0,1.5,1.8,0.030,1.175,4.010,,N,78500,213655,104735,296815,-0.33,-0.39,
EPA 475,Lake Okeechobee,natural ,Florida,13007.0,1890.7,2.8,53.2,3.400,0.063,1.745,,P or co,350515,7489295,191960,6953360,0.45,0.07,
EPA 475,Reedy Lake,natural ,Florida,157.7,14.1,3.3,1.0,1.500,0.033,1.965,,P,9240,1066300,1010,45680,0.89,0.96,
