,,,,,,,,,km2,km2,,%,%,%,%,yr,,ug/L,,,m,,ug L-1,mg/L,g C m2 yr,%,load,,retention,g/m2/yr,,,,,,,,,g/m2/yr,,,,%,,,,,,,,,,,,,,,,,,
Oliver_notes,status,Site,Primary_reference,Type,Location,latitude,longitude,Sub_location,Watershed_area,Lake_area,period,propNO3retention,propNH4retention,propDINretention,propTONretention,restime_y,logR,TP_ugL,LogTP,Status,zbar_m,h_myr1,Chla_ugL,DOC_mgL,Pprates_gCm2yr,PercTN_retention,Nload_gm2y,logNload,Nretention_gm2y,denitrifcation,p_mass_units,p_conc_units,tp_in_mass,tp_in_conc,tp_out_mass,tp_out_conc,PercP_retention,RpminusRn,inorganicload,organicload,inorganicremoval,organicremoval,PercOrganicLoad,PercInorganicLoad,Notes,,,,,,,,,,,,,,,,
,0,Borup,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.05,-1.301029996,150.00,2.18,E,0.9,18,78,,,0.21,147.10,2.167597911,30.88995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Bryup Langso,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.25,-0.602059991,107.00,2.03,E,4.6,18.4,33,,,0.49,162.43,2.210652875,79.58825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Byrup Langso,Anderson 1974,,Denmark?,,,,,0.38,early 1970s,,,,,0.356164384,-0.448349512,130.00,2.11,E,5,14.03846154,,,,0.553429027,83.82,1.923347656,46.38842105,40,,,,,,,0.48,-0.073429027,,,,,,,,,,,,,,,,,,,,,,,
added suspended P and TDP to get inputs/outputs and retention estimates,1,Char,Schindler et al. 1974,lake,Canada,74.705301,-94.897884,Nunavut,4.35,0.526,1970-1971,,,,,10,1,6.00,0.78,O,10.6,1.06,1,0.1,4,0.42,0.313688213,-0.5035018,0.131749049,,kg y,,8.45,,6.2,,0.27,-0.17,,,,,,,,,,,,,,,,,,,,,,,
,0,Dons Norres,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.05,-1.301029996,216.00,2.33,E,1,20,251,,,0.24,1483.73,3.171353414,356.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Farup,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.49,-0.30980392,92.00,1.96,E,5.6,11.42857143,37,,,0.57,43.80,1.641474111,24.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Fugles,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.14,-0.853871964,256.00,2.41,E,2,14.28571429,75,,,0.56,158.78,2.200782121,88.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Gundsomagle,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.08,-1.096910013,1127.00,3.05,E,1.2,15,276,,,0.38,170.82,2.232538718,64.9116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Halle so,Anderson 1974,,Denmark,,,,,0.32,early 1970s,,,,,0.104109589,-0.982509268,100.00,2.00,E,2.8,26.89473684,,,,0.531876138,87.15375,1.940286078,46.355,45.5,,,,,,,-0.03,-0.561876138,,,,,,,,,,,,,,,,,,,,,,,
