Reference,Lake/Reservoir Name,Country,Lake or Reservoir,state,latitude,longitude,Z (m),Restime(y),Area_km2,Volume_km3,Q_km3 yr,N_in_mass,N_in_conc,N_out_mass,N_out_conc,% N Removed,P_in_mass,P_in_conc,P_out_mass,P_out_conc,mass_units,conc_units,N_retention,P_retention,Notes,mass_concentration
"Ahlgren et al., 1994_Ambio",Norrvikken,Sweden,Lake,,59.47740,17.92801,5.40,0.847,2.700,0.0143,0.01756,9628.3,,7961,,17.93,422.33,,461.6666667,,mg m-2 y-1,,0.18,-0.167,data from table 1. Took average of 3 years,mass
"Ahlgren et al., 1994_Ambio",Vallentuna,Sweden,Lake,,59.50731,18.03593,2.50,1.807,6.100,0.0154,0.00861,2807.7,,1711.666667,,39.73,108.67,,100.6666667,,mg m-2 y-1,,0.40,0.074,data from table 1. Took average of 3 years,mass
Andersen 1974,Kvind so,Denmark,Lake,,56.02469,9.49866,1.90,0.038,0.140,0.0003,0.00751,22.7,,16.25,,27.53,2.46,,1.896,,t y-1,,0.28,0.228,,mass
Andersen 1974,Kul So,Denmark,Lake,,56.02972,9.48699,2.20,0.049,0.170,0.0004,0.00864,18.5,,14.3,,22.70,1.89,,1.9075,,t y-1,,0.23,-0.009,,mass
Andersen 1974,Stigsholm so,Denmark,Lake,,55.97770,9.48935,2.10,0.030,0.270,0.0003,0.01248,21.9,,16.65,,23.97,1.55,,1.7425,,t y-1,,0.24,-0.128,,mass
Andersen 1974,Byrup Langso,Denmark,Lake,,56.01670,9.53330,5.00,0.356,0.380,0.0019,0.00661,31.4,,14,,55.34,1.49,,0.694,,t y-1,,0.55,0.534,,mass
Andersen 1974,Halle so,Denmark,Lake,,55.98682,9.47583,2.80,0.104,0.320,0.0009,0.01069,27.5,,12.85,,53.19,0.77,,0.328,,t y-1,,0.53,0.574,,mass
Andersen 1974,Salten Langso,Denmark,Lake,,56.06810,9.63183,12.00,0.162,3.050,0.0125,0.00599,76.7,,58.8,,23.29,10.83,,4.885,,t y-1,,0.23,0.549,,mass
Ayers 1970 cited by???,Michigan,United States,Lake,,44.09452,-86.93101,84.00,100.000,,,,,,,,66.00,1.17,,,,,,0.66,,can't find pub,
Calderoni et al. 1978,Mergozzo,Italy,Lake,,45.95472,8.47087,45.00,4.700,1.825,0.08290,,9.1,,5.41,,40.00,0.53,,0.06,,g m-2 y-1,,0.40,0.887,,
Dillon & Molot 1990,Clearwater,,Lake,Ontario,45.20188,-79.23253,8.30,3.700,,,,,,,,61.00,,,,,,,0.61,,"N is TIN; No P data in this paper, but can probably be found elsewhere",
Dillon & Molot 1990,Batchawana,,Lake,Ontario,46.92327,-84.57193,3.30,0.300,,,,,,,,24.00,,,,,,,0.24,,"N is TIN; No P data in this paper, but can probably be found elsewhere",
Dillon & Molot 1990,Lohi,,Lake,Ontario,46.38732,-81.04469,6.20,1.000,,,,,,,,46.00,,,,,,,0.46,,"N is TIN; No P data in this paper, but can probably be found elsewhere",
Dillon & Molot 1990,Turkey,Canada,Lake,Ontario,49.72206,-87.27764,12.20,0.900,,,,,,,,29.00,,,,,,,0.29,,"N is TIN; No P data in this paper, but can probably be found elsewhere",
Dillon & Molot 1990,239,Canada,Lake,Ontario,46.66310,-93.72256,10.90,6.200,,,,,,,,82.00,,,,,,,0.82,,"N is TIN; No P data in this paper, but can probably be found elsewhere",
Downing unpublished,Crystal ,,Lake,,,,1.50,0.400,,,,,,,,50.22,,,,,,,0.50,,unpublished,
Downing unpublished,Clear,,Lake,,,,2.90,1.600,,,,,,,,82.24,,,,,,,0.82,,unpublished,
Downing unpublished,lake of 3 fires,,Reservoir,,,,2.50,0.300,,,,,,,,69.57,,,,,,,0.70,,unpublished,
Downing unpublished,Rock Creek,,Reservoir,,,,2.30,0.180,,,,,,,,37.24,,,,,,,0.37,,unpublished,
"Jeppesen et al., 1998",Vaeng,Denmark,Lake,,56.03330,9.65000,1.20,0.055,0.160,,,120.7,,55.72727273,,53.45,,,,,mg N m-2 d-1,,0.53,,no P data; summer budgets only; multiple years,mass
"Jeppesen et al., 1998",Sobygard,Denmark,Lake,,56.25598,9.81009,1.00,0.047,0.400,,,160.3,,69.75,,54.43,,,,,mg N m-2 d-1,,0.54,,no P data; summer budgets only; multiple years,mass
"Jeppesen et al., 1998",Engelsholm,Denmark,Lake,,55.71882,9.31847,2.60,0.210,0.440,,,64.7,,42.85714286,,41.43,,,,,mg N m-2 d-1,,0.41,0.338,P data from Sondergaard et al 2012 pulled from Fig 3 - 20 yrs of data,mass
"Jeppesen et al., 1998",Arreskov,Denmark,Lake,,55.15650,10.30755,1.90,1.753,3.170,,,43.9,,19.71428571,,43.29,,,,,mg N m-2 d-1,,0.43,,no P data; annual budgets; multiple years,mass
"Kelly et al., 1987",302N,Canada,Lake,Ontario,49.67602,-93.75920,5.70,5.800,,,,,,,,70.00,,,,,,,0.70,,"No P data in this paper, but maybe in original papers.",
"Kelly et al., 1987",302S,Canada,Lake,Ontario,46.67307,-93.76289,5.10,8.300,,,,,,,,98.00,,,,,,,0.98,,"No P data in this paper, but maybe in original papers.",
"Kelly et al., 1987",223,Canada,Lake,Ontario,49.69889,-93.70826,7.10,8.700,0.270,,,,,,,98.00,,,,,,,0.98,,"No P data in this paper, but maybe in original papers.",
"Kelly et al., 1987",Crystal,United States,Lake,Wisconsin,46.00179,-89.61302,10.60,25.000,,,,,,,,99.00,,,,,,,0.99,,"No P data in this paper, but maybe in original papers.",
"Kelly et al., 1987",Langtjern,Norway,Lake,,59.80419,11.15801,2.40,0.200,,,,,,,,36.00,,,,,,,0.36,,"No P data in this paper, but maybe in original papers.",
"Kelly et al., 1987",Darts ,United States,Lake,New York,43.79745,-74.85970,7.10,0.060,0.518,0.0038,,,,,,7.00,,,,,,,0.07,,"No P data in this paper, but maybe in original papers.",
"Mengis et al., 1997",Baldegg,Switzerland,Lake,,47.20055,8.26298,33.00,4.100,5.200,0.1730,,8.2,,1.7,,78.80,,,,,mmol m2 d,,0.79,,No P data,
"Mengis et al., 1997",Zug,Switzerland,Lake,,47.13322,8.48847,84.00,14.100,38.300,3.2000,,1.7,,0.2,,87.35,,,,,mmol m2 d,,0.87,,No P data,
Molot & Dillon 1993,Plastic,Canada,Lake,Ontario,45.17925,-78.82241,7.90,3.798,0.321,,0.00067,1540.0,,553,,65.00,32.70,,12.7,,mg m-2 y-1,,0.65,0.612,Found P data in Dillon & Evans (1993),mass
Molot & Dillon 1993,Chub,Canada,Lake,Ontario,45.29580,-79.23377,8.90,2.018,0.344,,0.00152,2770.0,,1650,,40.00,99.70,,40.4,,mg m-2 y-1,,0.40,0.595,Found P data in Dillon & Evans (1993),mass
Molot & Dillon 1993,Blue Chalk,Canada,Lake,Ontario,45.19855,-78.93910,8.50,5.346,0.524,,0.00083,1550.0,,415,,73.00,44.10,,8.8,,mg m-2 y-1,,0.73,0.800,Found P data in Dillon & Evans (1993),mass
Molot & Dillon 1993,Crosson,Canada,Lake,Ontario,45.08272,-79.03627,9.20,1.600,0.567,,0.00326,3450.0,,2210,,36.00,98.60,,57.1,,mg m-2 y-1,,0.36,0.421,Found P data in Dillon & Evans (1993),mass
Molot & Dillon 1993,Red Chalk,Canada,Lake,Ontario,45.18996,-78.94850,14.20,2.461,0.571,,0.00329,3180.0,,1880,,40.00,73.30,,30.8,,mg m-2 y-1,,0.40,0.580,Found P data in Dillon & Evans (1993),mass
Molot & Dillon 1993,Harp,Canada,Lake,Ontario,45.37892,-79.13516,13.30,3.122,0.714,,0.00304,3120.0,,1620,,48.00,,,,,mg m-2 y-1,,0.48,,no data,
Molot & Dillon 1993,Dickie,Canada,Lake,Ontario,45.14879,-79.08766,5.00,1.799,0.936,,0.00260,2260.0,,1090,,51.00,,,,,mg m-2 y-1,,0.51,,no data,
Dillon & Evans 1993,Jerry,Canada,Lake,Ontario,45.38352,-79.11207,12.40,,0.510,,,,,,,,175.10,,80.4,,mg m-2 y-1,,,0.541,"Not in harrison, added because of matching P data above",mass
Dillon & Evans 1993,Heney,Canada,Lake,Ontario,45.12771,-79.10238,3.30,,0.214,,,,,,,,98.50,,14,,mg m-2 y-1,,,0.858,"Not in harrison, added because of matching P data above",mass
Noges 1998,V?rtsj„rv,Estonia,Lake,,58.31252,26.08677,2.80,0.880,270.000,,,7.7,,,,53.10,0.20,,,,g m-2 y-1,,0.53,0.280,,
Noges 2005,Verevi 1991,Estonia,Lake,,58.23075,26.40535,3.60,1.111,0.126,,,573.0,,272,,52.00,14.00,,20,,kg,,0.52,-0.400,"change N retention estimates to the 50:50 surface:groundwater estimate, because discussion says that probably most closely reflects the lake. Time period for loading mass was April-October",mass
Noges 2005,Verevi 1993,Estonia,Lake,,58.23075,26.40535,3.60,1.493,0.126,,,1062.0,,146,,86.00,11.00,,8,,kg,,0.86,0.220,"change N retention estimates to the 50:50 surface:groundwater estimate, because discussion says that probably most closely reflects the lake. Time period for loading mass was April-October",mass
Patoine et al. 2006,Echo ,Canada,Lake,Saskatchewan,50.79635,-103.83973,9.80,0.700,,,,,,,,50.00,,,,,,,0.50,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
Patoine et al. 2006,Crooked,Canada,Lake,Saskatchewan,50.59979,-102.75334,8.10,0.500,15.000,,,,,,,42.00,,,,,,,0.42,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
Patoine et al. 2006,Pasqua,Canada,Lake,Saskatchewan,50.78538,-103.95713,6.00,0.700,,,,,,,,41.00,,,,,,,0.41,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
Patoine et al. 2006,Mission,Canada,Lake,Saskatchewan,50.75879,-103.74009,8.20,0.400,,,,,,,,61.00,,,,,,,0.61,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
Patoine et al. 2006,Katepwa,Canada,Lake,Saskatchewan,50.68431,-103.61953,14.40,1.300,16.000,,,,,,,80.00,,,,,,,0.80,,"No P data, did not include mass data because it was only for 100 summer days and wasn't sure how to scale up",
