Name,Latitude,Longitude,Location,Year of data collection,Year_dammed,Reservoir_age_yr,Surface_area(km2),mean_depth(m),vol(km3),residence_time(yr),discharge_km3/yr,Purpose,TP_Conc_in_(uM),TP_Conc_out_(uM),TPin(mol/yr),TPout(mol/yr),TP_Retention,Catchment dominant lithology (Hartmann and Moosdorf 2012),Outflow_type,2nd_P_species,2nd_p_conc_in_ (uM),2nd_P_conc_out(uM),2nd_P_influx(mol/yr),2nd_P_efflux(mol/yr),2nd_P_retention,Additional notes,References
Acton_Lake,39.57,-84.74,Ohio (USA),,,55,2.40,3.9,0.01,0.12,0.078,flow,7.90,5.43,6.15E+05,4.23E+05,0.31,Carbonate,,,,,,,,,"Vani et al., 2011"
Al_Massira,32.47,-7.63,Morocco,1991,1979,12,129.62,18.7,2.42,1.51,1.603,pump,11.55,1.04,1.85E+07,1.67E+06,0.90,Carbonate,Bottom,,,,,,,Hejzlar database,Alaoui-Mhamdi&Aleya 1995
ALLATOONA,34.16,-84.727,Georgia (USA),1972-1976,1950,24,48.60,9.1,0.44,0.16,2.799,pump,2.47,0.83,6.90E+06,2.32E+06,0.66,Carbonate,Bottom,,,,,,,Hejzlar database,Walker 1985
ALLEGHENY_(KINZUA),41.84,-79.003,USA,1972-1976,1965,9,85.70,13.2,1.13,0.17,6.815,flow,1.49,1.00,1.01E+07,6.80E+06,0.33,Siliclastic_sed,Mixed,,,,,,,Hejzlar database,Walker 1985
Amance,48.20,4.47,France,,,4,0.50,4.5,0.00,0.03,0.075,flow,17.51,11.48,1.31E+06,8.61E+05,0.34,Carbonate,,TDP,0.057,0.029,4.25E+03,2.15E+03,0.49,,Garnier et al 1999
Anarbe,43.22,-1.87,Spain,79-80,1976,3.5,1.32,25.7,0.03,0.41,0.083,pump,0.43,0.29,3.55E+04,2.40E+04,0.32,,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
Artikutza,43.20,-1.78,Spain,79-80,1962,17.5,0.11,10.9,0.00,0.07,0.016,pump,0.39,0.42,6.46E+03,6.88E+03,-0.07,Mixed_seds,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
ASHTABULA_(BALDHILL),47.03,-98.083,North_Dakota (USA),1972-1977,1951,23,21.20,3.8,0.08,0.49,0.164,pump,9.94,7.23,1.63E+06,1.19E+06,0.27,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Walker 1985
ATWOOD,40.53,-81.285,USA,1972-1976,1940,34,8.00,4.4,0.04,0.30,0.117,flow,2.94,0.89,3.43E+05,1.03E+05,0.70,Siliclastic_sed,Surface,,,,,,,Hejzlar database,Walker 1985
Aube,48.20,4.47,France,1994-95,,4,21.00,8.9,0.19,0.40,0.467,flow,1.88,0.83,5.81E+05,3.55E+05,0.39,Carbonate,,TDP,0.009,0.003,4.25E+03,1.55E+03,0.64,,Garnier et al 1999
