Name,Latitude,Longitude,State,Country,Year of data collection,Year_dammed,Reservoir_age_yr,Surface_area(km2),mean_depth(m),vol(km3),residence_time(yr),cal_discharge_km3/yr,reported_discharge,Purpose,TP_Conc_in_(uM),TP_Conc_out_(uM),TPin(mol/yr),TPout(mol/yr),TN_in_(uM),TN_out_(uM),TNin(mol/yr),TNout(mol/yr),TP_Retention,TN_Retention,Catchment dominant lithology (Hartmann and Moosdorf 2012),Outflow_type,2nd_P_species,2nd_p_conc_in_ (uM),2nd_P_conc_out(uM),2nd_P_influx(mol/yr),2nd_P_efflux(mol/yr),2nd_P_retention,Additional notes,References,Oliver Notes
Driss_I,35.00,-5,,Morocco,1991-1992,1973,18.5,57.00,6.1,0.349,2.095,0.1665,,pump,17.72,0.99,2.95E+06,1.64E+05,5.66E+01,5.49E+01,9.43E+06,9.14E+06,0.94,0.03,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Alaoui-Mhamdi et al. 1996,No N data
Al_Massira,32.47,-7.63,,Morocco,1991,1979,12,129.62,18.7,2.423,1.511,1.6030,,pump,11.55,1.04,1.85E+07,1.67E+06,,,,,0.90,,Carbonate,Bottom,,,,,,,Hejzlar database,Alaoui-Mhamdi&Aleya 1995,No N data
Lipno,48.67,14.16666667,,Czech Republic,1967-68,1960,7.5,42.66,5.6,0.240,0.357,0.6728,,flow,1.41,0.75,9.51E+05,5.03E+05,,,,,0.44,,Metamorphic,Bottom,,,,,,,Hejzlar database,Brandl 1973,Can't find pub
Bort-les-orgue,45.40,2.5,,France,1996-1997,,44,8.58,33,0.283,0.250,1.1326,,flow,3.39,1.63,3.91E+06,1.87E+06,,,,,0.52,,Metamorphic or Basic_volcanic,,TDP,0.051,0.029,5.80E+04,3.30E+04,0.43,,Brigault and Ruban 1999; Ruban and Demare 1998,No nitrogen data
Wivenhoe,-27.40,152.6,,Australia,2002-2008,,21,109.00,10.8,1.177,20.000,0.0589,,pump,6.27,2.57,3.69E+05,1.51E+05,1.37E+02,1.38E+02,8.06E+06,8.14E+06,0.59,-0.01,Metamorphic,,,,,,,,,Burford et al 2012,changed P inputs/outputs according to Table 1 in Burford
Lobo-Broa,-22.25,-47.81666667,,Brazil,1996,1971,25,6.80,3.2,0.022,0.055,0.4015,,flow,1.38,1.20,5.54E+05,4.82E+05,,,,,0.13,,Siliclastic_sed,,,,,,,,Hejzlar database,Chalar&Tundisi 2001,no N data
LakeAlexandrina,-35.50,139.12,,Australia,,,47.5,580.60,2.86,1.661,0.300,5.5351,,pump,5.14,2.31,2.84E+07,1.28E+07,,,4.26E+08,3.99E+08,0.55,0.07,"Mixed_seds,Carbonate,Unconsol_seds",,TDP,0.042,0.010,2.34E+05,5.57E+04,0.76,,Cook et al 2010,"data means from Table 1. Retention of TN doesn't match Nox + TKN, but used retention value for TN given in table"
Kanopolis,38.62,-97.97,Kansas,United States,,,43,13.80,4.6,0.063,0.250,0.2539,,pump,7.76,2.72,1.97E+06,6.92E+05,,,,,0.67,0.14,Unconsol_seds,,,,,,,,88% of Q accounted for,Cunha et al 2014,N is nitrate
Tuttle_Creek_2,39.33,-96.602,Kansas,United States,,,29,50.60,7.6,0.385,0.420,0.9156,,flow,26.04,6.91,2.38E+07,6.33E+06,,,,,0.73,0.11,"Unconsol_seds,Mixed_seds",,,,,,,,30% of Q accounted for,Cunha et al 2014,N is nitrate
Waconda,39.50,-98.37,Kansas,United States,,,28,50.90,7.3,0.372,1.500,0.2477,,pump,10.89,6.06,2.70E+06,1.50E+06,,,,,0.42,0.48,Mixed_seds,,,,,,,,36% of Q accounted for,Cunha et al 2014,N is nitrate
Wilson_Kansas,38.93,-98.55,Kansas,United States,,,27,36.50,7.3,0.266,2.330,0.1144,,flow,4.00,2.01,4.58E+05,2.30E+05,,,,,0.50,0.39,"Unconsol_seds,Mixed_seds",,,,,,,,all Q accounted for,Cunha et al 2014,N is nitrate
John_Redmond_2,38.57,-95.77,Kansas,United States,,,27,32.70,1.8,0.059,0.083,0.7092,,pump,13.74,4.58,9.74E+06,3.25E+06,,,,,0.53,0.56,Siliclastic_sed or Carbonate,,,,,,,,19% of Q accounted for,Cunha et al 2014; Walker 1985 (Hejzlar),"N is nitrate; used TN data from Cunha, where TP retention is reported as .67 (Table 3)"
Milford_2,39.10,-96.891,Kansas,United States,,,29,63.60,7.6,0.483,1.000,0.4834,,pump,13.70,4.82,6.62E+06,2.33E+06,,,,,0.80,0.33,Mixed_seds,,,,,,,,all Q accounted for,Cunha et al 2014; Walker 1985 (Hejzlar),"N is nitrate; Used TN data from Cunha, where TP retention is reported as .63 (Table 3)"
Ceske_udoli_bottom_outlets,49.72,13.35,,Czech Republic,1997,,24,1.04,2.55,0.003,0.038,0.0697,,flow,11.56,6.91,8.62E+08,5.00E+08,,,,,0.42,,,Surface,DP,5.460,1.580,3.81E+05,1.10E+05,0.71,annual redox oscillations due to draining/filling regime,Duras and Hejzlar 2001,Total N budgets not included
Ceske_udoli_surface_outlets,49.72,13.35,,Czech Republic,1998,,25,1.04,2.55,0.003,0.063,0.0421,,flow,14.72,11.36,5.42E+08,4.52E+08,,,,,0.17,,,Bottom,DP,8.850,7.100,3.72E+05,2.99E+05,0.20,annual redox oscillations due to draining/filling regime,Duras and Hejzlar 2001,Total N budgets not included
Sulejow,51.45,19.95,,Poland,1985-88,1973,13.5,18.48,3.4,0.063,0.084,0.7497,,pump,12.25,8.10,9.19E+06,6.07E+06,,,,,0.34,,Unconsol_seds,,,,,,,,Hejzlar database,Galicka 1992,can't find pub
Amance,48.20,4.47,,France,,,4,0.50,4.5,0.002,0.030,0.0750,,flow,17.51,11.48,1.31E+06,8.61E+05,,,5.48E+07,4.20E+07,0.34,0.23,Carbonate,,TDP,0.057,0.029,4.25E+03,2.15E+03,0.49,,Garnier et al 1999,"Summed NO3 and NH4 from Table 4. Averaged across years. TP doesn't match Table 4, not sure what data was extracted for P."
Aube,48.20,4.47,,France,1994-95,,4,21.00,8.9,0.187,0.400,0.4673,,flow,1.88,0.83,5.81E+05,3.55E+05,,,5.48E+07,2.58E+07,0.39,0.53,Carbonate,,TDP,0.009,0.003,4.25E+03,1.55E+03,0.64,,Garnier et al 1999,"Summed NO3 and NH4 from Table 4. Averaged across years. TP doesn't match Table 4, not sure what data was extracted for P."
Champaubert,48.30,4.73,,France,,,20,0.50,3.5,0.002,0.110,0.0159,,flow,16.23,10.15,2.58E+05,1.61E+05,,,1.53E+08,1.37E+08,0.38,0.10,Carbonate,,TDP,1.094,0.758,1.74E+04,1.21E+04,0.31,,Garnier et al 1999,"Summed NO3 and NH4 from Table 4. Averaged across years. TP doesn't match Table 4, not sure what data was extracted for P."
Marne,48.30,4.72,,France,1993-95,,20,48.00,7.2,0.346,0.460,0.7513,,flow,2.91,0.95,1.31E+06,4.20E+05,,,1.53E+08,7.56E+07,0.68,0.50,Carbonate,,TDP,0.023,0.005,1.74E+04,3.53E+03,0.80,,Garnier et al 1999,"Summed NO3 and NH4 from Table 4. Averaged across years. TP doesn't match Table 4, not sure what data was extracted for P."
Seine,48.20,4.7,,France,1994-95,,28,23.00,7.6,0.175,0.620,0.2819,,flow,1.46,0.78,2.58E+05,1.61E+05,,,1.71E+08,1.26E+08,0.38,0.26,Carbonate,,TDP,0.038,0.013,1.07E+04,3.80E+03,0.64,,Garnier et al 1999,"Summed NO3 and NH4 from Table 4. Averaged across years. TP doesn't match Table 4, not sure what data was extracted for P."
Saguling,-6.55,107.35,,Indonesia,,,18,56.00,18.4,1.030,0.230,4.4773,,flow,10.99,4.62,4.92E+07,2.07E+07,,,4.39E+08,2.54E+08,0.58,0.42,"Unconsol_seds,Intermed_volcanic,Mixed_seds",Surface,TDP,0.339,0.112,1.52E+06,5.02E+05,0.67,,Hart et al 2002,"Revised phosphorus data based on Table 5, old value of P retention was .81. May have been total P? Now values based on FRP and DIN"
Jordan,49.42,14.67,,Czech Republic,2000,1492,508,0.49,5.2,0.003,0.301,0.0084,,pump,3.99,4.12,3.36E+04,3.46E+04,,,,,-0.03,,Metamorphic,Surface,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Lipno,48.67,14.16666667,,Czech Republic,1991-99,1960,35,43.04,5.7,0.245,0.559,0.4386,,flow,2.35,1.22,1.03E+06,5.36E+05,,,,,0.47,,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Nemcice,49.68,15.09166667,,Czech Republic,1997-2000,1980,18.5,0.22,3.9,0.001,0.083,0.0103,,unknown,4.52,2.02,4.66E+04,2.08E+04,,,,,0.55,,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Nyrsko,49.01,13.21666667,,Czech Republic,1992-2003,1969,28.5,1.30,12.4,0.016,0.304,0.0532,,pump,0.85,0.51,4.53E+04,2.69E+04,,,,,0.41,,"Metamorphic,Acid_plutonic",Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Rimov,48.83,14.66666667,,Czech Republic,1999-2001,1978,22,1.78,14.8,0.026,0.272,0.0967,,pump,2.76,1.21,2.67E+05,1.17E+05,,,,,0.55,,Metamorphic,Mixed,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Sedlice,49.53,15.26666667,,Czech Republic,1997-2000,1927,71.5,0.32,5.1,0.002,0.024,0.0668,,flow,4.68,3.15,3.13E+05,2.11E+05,,,,,0.52,,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Slapy,49.80,14.7,,Czech Republic,2004,1954,50,11.86,20.3,0.241,0.100,2.3997,,flow,2.35,1.84,5.64E+06,4.42E+06,,,,,0.21,,Acid_plutonic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Trnavka,49.53,15.21666667,,Czech Republic,1997-2000,1981,17,0.77,6.3,0.005,0.090,0.0533,,unknown,2.86,1.58,1.53E+05,8.41E+04,,,,,0.45,,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Zelivka_1,49.67,15.09166667,,Czech Republic,1994,1975,19,10.57,16.3,0.172,1.045,0.1650,,pump,2.80,0.59,4.62E+05,9.78E+04,,,,,0.80,,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Zelivka_2,49.67,15.09166667,,Czech Republic,1995-2000,1975,22,13.74,18.2,0.250,1.233,0.2029,,pump,2.80,0.49,5.68E+05,1.00E+05,,,,,0.86,,Metamorphic,Mixed,,,,,,,Hejzlar database,"Hejzlar, unpublished",
Eau_Galle,44.70,-92.23,Wisconsin (USA),United States,,,18,0.60,3.2,0.002,0.655,0.0029,,flow,113.81,62.71,3.33E+05,1.84E+05,,,,,0.45,,Siliclastic_sed,,,,,,,,,James and Barko 1997,No N data
Falcon,26.60,-99.23,Texas (USA)/Mexico,United States,,,44,338.50,11.5,3.900,0.800,1.7400,,pump,3.23E+00,1.61E-01,5.89E+06,2.36E+05,5.43E+01,1.36E+01,9.39E+07,2.22E+07,0.96,0.76,,,SRP,,,1.61E+04,6.46E+02,0.96,,Kelly 2001,"N is Nitrate, P is SRP"
Lake_Mead,36.40,-114.39,USA,United States,,,62,640.00,40,25.600,3.700,17.6300,,pump,9.69E-02,9.69E-02,1.77E+06,1.18E+06,1.79E+01,2.29E+01,3.13E+08,3.13E+08,0.33,0.00,Acid_plutonic,,SRP,,,4.84E+03,3.23E+03,0.33,,Kelly 2001,"N is Nitrate, P is SRP"
