state,name,county,storet_code,source
CONNECTICUT,ASPINOOK,NEW LONDON,901,474
CONNECTICUT,BANTAM,LITCHFIELD,902,474
CONNECTICUT,COMMUNITY LAKE,NEW HAVEN,903,474
CONNECTICUT,EAGLEVILLE,TOLLAND,904,474
CONNECTICUT,HANOVER POND,NEW HAVEN,905,474
CONNECTICUT,LAKE HOUSATONIC,NEWHAVEN FAIR FIELD,912,474
CONNECTICUT,LAKE LILLINONAH,FAIRFIELD,911,474
CONNECTICUT,LAKE ZOAR,LITCHFIELD NEH HAVEN,910,474
MAINE,BAY OF NAPLES,CUMBERLAND,2314,474
MAINE,ESTES LAKE,YORK,2304,474
MAINE,LONG LAKE,CUMBERLAND,2306,474
MAINE,LONG LAKE,AROOSTOOK,2313,474
MAINE,MATTAWAMKEAG LAKE,AROOSTOOK,2308,474
MAINE,MOOSEHEAD,PISCATAQUIS,2309,474
MAINE,RANGELEY LAKE,FRANKLIN,2310,474
MAINE,SEBAGO LAKE,CUMBERLAND,2311,474
MAINE,SEBASTICOOK LAKE,PENOBSCOT,2312,474
MASSACHUSETTS,BILLERICA IMPOUNDMENT,MIDDLESEX,2511,474
MASSACHUSETTS,HAGER POND,MIDDLESEX,2502,474
MASSACHUSETTS,HARRIS POND,NA,2503,474
MASSACHUSETTS,HUDSON IMPOUNDMENT,MIDDLESEA NORCHESTER,2513,474
MASSACHUSETTS,MATFIELD IMPOUNDMENT,PLYMOUTH,2508,474
MASSACHUSETTS,MAYNARD IMPOUNDMENT,MIDDLESEX,2504,474
MASSACHUSETTS,NORTHBORO IMPOUNDMENT,MORCMESTER,2512,474
MASSACHUSETTS,ROCHDALE POND,HORCHESTER,2509,474
MASSACHUSETTS,WOODS POND,BERKSHIRE,2507,474
MICHIGAN,BARTON LAKE,KALAMAZOO,2606,474
MICHIGAN,BELLEVILLE LAKE,MAYNE,2609,474
MICHIGAN,BETSIE LAKE,BENZIE,2610,474
MICHIGAN,BOARDMAN HYDRO POND,GRAND TRAVERSE,26A2,474
MICHIGAN,BRIGHTON LAKE,NA,2613,474
MICHIGAN,CARO RESERVOIR,TUSCOLA,26A1,474
MICHIGAN,CONSTANTINE RESERVOIR,ST JOSEPH,2621,474
MICHIGAN,CRYSTAL LAKE,NA,2694,474
MICHIGAN,DEER LAKE,MARQUETTE,2624,474
MICHIGAN,FORD LAKE,WASHTENAW,2629,474
MICHIGAN,FREMONT LAKE,NERAYGO,2631,474
MICHIGAN,HIGGINS LAKE,ROSCOMMON,2695,474
MICHIGAN,HOLLOWAY RESERVIOR,,26A0,474
MICHIGAN,HOUGHTON LAKE,ROSCOMMON,2696,474
MICHIGAN,JORDAN LAKE,IONIA HARRY,2640,474
MICHIGAN,KENT LAKE,OAKLAND LIVINGSTON,2643,474
MICHIGAN,LAKE ALLEGAN,ALLEGAN,2603,474
MICHIGAN,LAKE CHARLEVOIX,NA,2617,474
MICHIGAN,LAKE CHEMUNG,LIVINGSTON,2618,474
MICHIGAN,LONG LAKE,ST JOSEPH,2692,474
MICHIGAN,MACATAWA LAKE,NA,2648,474
MICHIGAN,MANISTEE LAKE,MANISTEE,2649,474
MICHIGAN,MONA LAKE,MUSKEGON,2691,474
MICHIGAN,MUSKEGON LAKE,MUSKEGON,2659,474
MICHIGAN,PENTWATER LAKE,OCEANA,2665,474
MICHIGAN,PERE MARQUETTE,MASON,2698,474
MICHIGAN,PORTAGE LAKE,HOUGHTON,2669,474
MICHIGAN,ROGERS POND,MECOSTA,2672,474
MICHIGAN,ROSS RESERVOIR,GLAOVIN,2673,474
MICHIGAN,SANFORD LAKE,MIDLAND,2674,474
MICHIGAN,ST LOUIS RESERVOIR,GRATIOT,2693,474
MICHIGAN,STRAWBERRY LAKE,LIVINGSTONE,2699,474
MICHIGAN,THOMPSON LAKE,LIVINGSTON,2697,474
MICHIGAN,THORNAPPLE LAKE,BARRY,2683,474
MICHIGAN,UNION LAKE,BRANCH,2685,474
MICHIGAN,WHITE LAKE,MUSKEGON,2688,474
MINNESOTA,ALBERT LEA LAKE,FREEBORN,2702,474
MINNESOTA,BADGER LAKE,POLK,2704,474
MINNESOTA,BARTLETT LAKE,KOOCHICHING,2705,474
MINNESOTA,BEAR LAKE,FREEBORN,2706,474
MINNESOTA,BIG LAKE,STEARNS,2708,474
MINNESOTA,BIG STONE,BIG STONE (MN); ROBERTS GRANT (SD),2709,474
MINNESOTA,BIRCH LAKE,CASS,2710,474
MINNESOTA,BLACKDUCK LAKE,BELTRAMI,2711,474
MINNESOTA,BLACKHOOF LAKE,CROW WING,2712,474
MINNESOTA,BUDD LAKE,MARTIN,27A8,474
MINNESOTA,BUFFALO LAKE,WRIGHT,2713,474
MINNESOTA,CARRIGAN LAKE,WRIGHT,2714,474
MINNESOTA,CASS LAKE,BELTRAMI CASS,2715,474
MINNESOTA,CLEARWATER LAKE,WRIGHT STEARNS,2716,474
MINNESOTA,COKATO LAKE,WRIGHT,2719,474
MINNESOTA,CRANBERRY LAKE,CROW WING,2720,474
MINNESOTA,ELBOW LAKE,ST LOUIS,2725,474
MINNESOTA,EMBARRASS LAKE,ST LOUIS,2728,474
MINNESOTA,FALL LAKE,LAKE,2730,474
MINNESOTA,FOREST LAKE,WASHINGTON,27A9,474
MINNESOTA,GREEN LAKE,KANDIYOHI,27B2,474
MINNESOTA,GULL LAKE,CASS CROW WING,2737,474
MINNESOTA,HERON LAKE,JACKSON,2739,474
MINNESOTA,LAKE ANDROSIA,BELTRAMI,27C0,474
MINNESOTA,LAKE BEMIDJI,BELTRAMI,27C!,474
MINNESOTA,LAKE CALHOUN,HENNEPIN,27B6,474
MINNESOTA,LAKE CARLOS,DOUGLAS,27B9,474
MINNESOTA,LAKE DARLING,DOUGLAS,27B4,474
MINNESOTA,LAKE LE HOMME DIEU,DOUGLAS,27B5,474
