paper_id,included_other_papers,cited_by_crossreference,in_wos,Data_extracted,first_author,year,title,journal,waterbody_name,lake_reservoir,single_multiple,country,read in depth,email authors,notes
1,koiv,,x,x,Dillon,1975,"The phosphorus budget of Cameron Lake, Ontario: The importance of flushing rate to the degree of eutrophy of lakes",Limnology & Oceanography,Cameron Lake,lake,single,,,,
2,,,,,Larsen ,1976,Phosphorus retention capacity of lakes,Journal of Fish Research Board Canada,,,multiple,,,,contains Dillon 1975 data and others
3,,,,,Reddy,1983,Fate of nitrogen and phosphorus in a waste-water retention reservoir containing aquatic macrophytes,Journal of Environmental Quality,,,,,,,
4,,,,,Persson,1985,"Nutrient concentrations in the acidified Lake Gardsjon: The role of transport and retention of phorphorus, nitrogen and DOC in watershed and lake",Ecological Bulletins,,,,,,,
5,,,,,Ahlgren,1988,"Empirical and theoretical models of phosphorus loading, retention and concentration vs. lake trophic status",Hydrobiologia,,,,,x,,
6,Harrison 2009,x,,x,Dillon ,1990,"Retention and resuspension of phosphorus, nitrogen, and iron in a central Ontario lake",Canadian Journal of Fisheries and Aquatic Sciences,Blue Chalk Lake,lake,single,Canada,,,
7,,,x,,Jones,1990,"Internal phosphorus loading related to mixing and dilution in a dendritic, shallow prairie lake",Water Environment Federation,Moses Lake,lake,single,,,,
8,Finlay,,x,,Jensen,1992,"Nitrogen loss and denitrification as studied in relation to reductions in nitrogen loading in a shallow, hypertrophic lake (Lake Sobygard, Denmark)",International Revue der gesamten Hydrobiologie unde Hydrographie,Lake Sobygard,lake,single,,,,
9,,,,x,Dillon,1993,A comparison of phosphorus retention in lakes determined from mass balance and sediment core calculations,Water Research,,,multiple,,,,"no P data, could be found elsewhere?"
10,Harrison 2009,,,x,Molot,1993,Nitrogen mass balances and denitrification rates in central ontario lakes,Biogeochemistry,,,,,,,
11,,,x,,Straskraba,1995,The effect of reservoirs on phosphorus concentration,International Revue der gesamten Hydrobiologie unde Hydrographie,,reservoirs,multiple,,,,
12,"Harrison 2009, Finlay",,x,x,Windolf,1996,Modelling of seasonal variation in nitrogen retention and in-lake concentration: A four-year mass balance study in 16 shallow Danish Lakes,Biogeochemistry,,lakes,multiple,,,,
13,Finlay,,x,x,Berge,1997,Nitrogen retention in two Norwegian watercourses of different trophic status,Ambio,,lake,multiple,,,,
14,"Maavara 2015, Koiv",,,,James,1997,"Net and gross sedimentation in relation to the phosphorus budget of Eau Galle Reservoir, Wisconsin",Hydrobiologia,Eau Galle Reservoir,reservoir,single,,,,no P data
15,,,x,,Kennedy,1999,Basin-wide considerations for water quality management: Importance of phosphorus retention by reservoirs,International Review of Hydrobiology,,reservoirs,multiple,,,,data table
16,,,x,,Anda,2000,Phosphorus balance in Lake Chapala (Mexico),Journal of Great Lakes Research,Lake Chapala,lake,single,,,,
17,,,,,Housner,2000,Food web structure and nutrient enrichment: effects on sediment phosphorus retention in whole-lake experiments,Canadian Journal of Fisheries and Aquatic Sciences,,lakes,multiple,,,,
18,,,x,,Tang,2000,"Budgets and dynamics of nitrogen and phosphorus in a shallow, hypereutrophic lake in China",Journal of Freshwater Ecology,Lake Donghu,lake,single,,,,
19,,,,,Saunders ,2001,"Nitrogen retention in wetlands, lakes and rivers",,,,multiple,,,,likely contains data in other papers
20,,,,,Sondergaard,2001,"Retention and internal loading of phosphorus in shallow, eutrophic lakes",The Scientific World,,,,,,,
21,,,x,,Lamontagne,2002,"Groundwater delivery rate of nitrate and predicted change in nitrate concetration in Blue Lake, South Australia",Marine and freshwater Research,Blue Lake,lake,single,,,,
22,,,x,,Koszelnik,2003,The influence of reservoir morphometry on nitrogen retention,Transactions on Ecology and the Environment,,reservoirs,multiple,,,,
23,,,x,,Ito,2005,Nitrogen input-output budgets for lake-containing watersheds in the Airondack region of New York,Biogeochemistry,,lake,multiple,,,,
24,Finlay2,x,x,,David,2006,Denitrification and the nitrogen budget of a reservoir in an agricultural landscape,Ecological Applications,Lake Shelbyville,reservoir,single,,,,
25,koiv,,,,Moosmann,2006,Is phosphorus retention in autochthonous lake sediments controlled by oxygen or phosphorus?,Limnology & Oceanography,,,multiple,,,,
26,,,x,,Seitzinger,2006,Denitrification across landscapes and waterscapes: A synthesis,Ecological Applications,,,,,,,
27,,,x,,Brett,2008,A review and reassessment of lake phosphorus retention and the nutrient loading concept,Freshwater Biology,,,multiple,,x,,
28,,,x,,Irfanullah,2008,"Low retention of nitrogen in a clear-water, shallow, temperate lake",Fundamental and Applied Limnology,Little Budworth Pool,lake,single,,,,
29,,x,x,,Kumar,2008,Nitrogen and carbon uptake dynamics in Lake Superior,Journal of Geophysical Research,Lake Superior,lake,single,,,,
30,,,,,Harrison,2009,The regional and global significance of nitrogen removal in lakes and reservoirs,Biogeochemistry,,,multiple,,,,
31,,,x,,Klump,2009,"Benthic biogeochemical cycling, nutrient stoichiometry, and carbon and nitrogen mass balances in a eutrophic freshwater bay",Limnology & Oceanography,Lake Michigan,lake,single,,,,
32,,,x,,Suchowolec,2009,Riverine water transformation during retention in small lowland reservoirs,Oceanological and Hydrobiological Studies,,reservoirs,multiple,,,,
33,"Maavara 2015, Finlay2",,x,x,Cook,2010,"Retention of nitrogen, phosphorus and silicon in a large semi-arid riverine lake system",Biogeochemistry,,,single,,,,
34,,,x,,McDonald,2010,Modeling historical trends in Lake Superior total nitrogen concentrations,Journal of Great Lakes Research,Lake Superior,lake,single,,,,
35,,,,,Brown,2011,"Nutrient sources and transport in the missouri river basin, with emphasis on the effects of irrigation and reservoirs",Journal of the American Water Resources Association,,,mutliple,,,,
36,,,,,Hargan,2011,A total phosphorus budget for the Lake of the Woods and the Rainy River catchment,Journal of Great Lakes Research,,lake,single,,,,
37,Harrison 2009,,x,,Koiv,2011,"Phosphorus retention as a function of external loading, hydraulic turnover time, area and relative depth in 54 lakes and reservoirs",Hydrobiologia,,,multiple,,,,
38,,,x,x,Kunz,2011,"Impact of a large tropical reservoir on riverine transport of sediment, carbon and nutrients to downstream wetlands",Water Resources Research,Itezhi-Tezhi Reservoir,reservoir,single,,,,
39,"Finlay, Maavara",,,x,Vanni,2011,Nutrient stoichiometry of linked catchment-lake systems along a gradient of land use,Freshwater Biology,Acton Lake,reservoir,single,,,,
40,Finlay2,,,,Bruesewitz,2012,Incorporating spatial variation of nitrification and denitrification rates into whole-lake nitrogen dynamics,JGR Biogeosciences,Gull Lake,lake,single,,,,
41,,,,,May,2012,"Historical changes (1905-2005) in external phosphorus loads to Loch Leven, Scotland, UK",Hydrobiologia,,,single,,,,
42,paired with Harrison data,,x,x,Sondergaard,2012,Persistent internal phosphorus loading during summer in shallow eutrophic lakes,Hydrobiologia,,lakes,multiple,,,,
43,,x,x,x,Weilhartner,2012,Gravel pit lake ecosystems reduce nitrate and phophate concetrations in the outflow groundwater,Science of The Total Environment,,gravel pit lakes,multiple,,,,
44,most data in Harrison,,,,Finlay,2013,Human influences on nitrogen removal in lakes,Science,,,multiple,,,,requested data
45,Maavara 2015,,x,x,Cunha,2014,Trends in nutrient and sediment retention in Great Plains reservoirs (USA),Environmental Monitoring and Assessment,,reservoirs,multiple,,,,
46,Finlay2,,,x,Grantz,2014,"Stoichiometric imbalance in rates of nitrogen and phosphorus retention, storage, and recycling can perpetuate nitrogen deficiency in high-productive reservoirs",Limnology & Oceanography,,reservoirs,multiple,,x,,
47,,,x,1,Kenney,2014,"Whole-basin, mass-balance approach for identifying critical phosphorus-loading thresholds in shallow lakes ",Journal of Paleolimnology,Lake Lochloosa,,single,,,,only P data
48,,,,1,Small,2014,An ecological network analysis of nitrogen cycling in the Laurentian Great Lakes,Ecological Modeling,,lakes,multiple,,,,only N data
49,,,x,1,Stenback,2014,Nitrate loss in Saylorville Lake reservoir in Iowa,Journal of Hydrology,Saylorville Lake,reservoir,single,,,,only N data
50,,,,x,Maavara,2015,Global phosphorus retention by river damming,PNAS,,reservoirs,multiple,,x,,data downloaded
51,,x,,x,Powers,2015,Control of nitrogen and phosphorus transport by reservoirs in agricultural landscapes,Biogeochemistry,,reservoirs,multiple,,,,
52,,,,0,Welch,2015,A dramatic recovery of Lake Spokane water quality following wastewater phosphorus reduction,Lake and Reservoir Management,Lake Spokane,lake,single,,,,no budget data
53,,x,x,0,Wu,2015,"Estimates of long-term water total phosphorus (TP) concentrations in three large shallow lakes in the Yangtze River basin, China",Environmental Science and Pollution Research,,,multiple,,,,only P data
54,,,x,0,Hupfer,2016,Long-term efficiency of lake restoration by chemical phosphorus precipitation: Scenario analysis with a phosphorus balance model,Water Research,Lake Arendsee,lake,single,,,,"modeled retention under different scenarios, data in other papers, may already have this lake?"
55,,,x,0,Lu,2016,Hydrological controls on cascade reservoirs regulating phosphorus retention and downriver fluxes,Environmental Science and Pollution Research,Xipi Reservoir,reservoir,single,,,,only P data
56,Harrison 2009,,,x,O'Brien,2016,Sediment and nutrient budgets are inherently dynamic: evidence form a long-term study of two subtropical reservoirs,Hydrology and Earth System Sciences,,reservoir,multiple,,,,
57,,,x,x,Sow,2016,"Retention of nutrients, suspended particulate matter and phytoplankton in a pondage associated with a run-of-the-river type hydroelectric power plant",Ecohydrology,Malause Pondage,reservoir,,,,,
58,,,x,0,Zhang,2017,"Analysis of nutrient transport and ecological response in Honghu Lake, China by using a mathematical model",Science of The Total Environment,Honghu Lake,,single,,,,no residence time estimate
59,Harrison & Maavara,,,x,Kelly,2001,Influence of reservoirs on solute transport: a regional-scale approach,Hydrological Processes,,reservoirs,multiple,,,,
60,"Harrison, Maavara, Koiv",,,x,Garnier,1999,"Biogeochemical mass-balances (C, N, P, Si) in three large reservoirs of the Seine Basin (France)",Biogeochemistry,,reservoirs,multiple,,,,
61,"Maavara 2015, Finlay2",,,x,Burford,2012,Sources and fate of nutrients in a subtropical reservoir,Aquatic Scinces,,reservoir,single,,,,
62,Maavara 2015 (+ missing some lakes),,,x,Donald,2015,Nutrient sequestration in the Lake Winnipeg watershed,Journal of Great Lakes Research,,lakes and reservoirs,multiple,,,,
63,"Maavara 2015, Koiv",,,x,Hart,2002,"Nutrient budget for Saguling Reservoir, West Java, Indonesia",Water Research,Saguling Reservoir,reservoir,single,,,,
